0, unedit, -1, -1, -1, -1
1, close, 1763305355, 1763134583, 1763134583, -1
2, close, 1763137909, 1763138317, 1763138317, -1
3, close, 1763134395, 1763134395, 1763134395, -1
4, close, 1763215871, 1763215871, 1763215871, -1
5, close, 1763217212, 1763217212, 1763217212, -1
6, close, 1763202895, 1763202895, 1763202895, -1
7, close, 1763205408, 1763205408, 1763205408, -1
8, close, 1763157337, 1763217749, 1763217749, -1
9, close, 1763137651, 1763137651, 1763137651, -1
10, close, 1763138365, 1763138365, 1763138365, -1
11, close, 1763148790, 1763148790, 1763148790, -1
12, close, 1763218834, 1763218834, 1763218834, 1763150783
13, close, 1763213549, 1763213552, 1763213552, -1
14, close, 1763208978, 1763217756, 1763217756, -1
15, close, 1763216940, 1763216941, 1763216940, -1
16, close, 1763215412, 1763215412, 1763215412, -1
17, close, 1763199404, 1763199404, 1763199404, 1763137503
18, close, 1763136852, 1763136852, 1763136852, -1
19, close, 1763141033, 1763141033, 1763141033, -1
20, close, 1763155673, 1763155673, 1763155673, -1
21, close, 1763211846, 1763212890, 1763212890, -1
22, close, 1763190415, 1763213094, 1763213094, -1
23, close, 1763148704, 1763156920, 1763156920, -1
24, close, 1763155147, 1763156944, 1763156944, -1
25, close, 1763218630, 1763218631, 1763218630, -1
26, close, 1763143709, 1763217761, 1763217761, -1
27, close, 1763139358, 1763217765, 1763217765, -1
28, close, 1763215771, 1763215771, 1763215771, -1
29, close, 1763134444, 1763135784, 1763135784, -1
30, close, 1763200672, 1763200672, 1763200672, -1
31, close, 1763219159, 1763219160, 1763219159, -1
32, close, 1763219008, 1763219008, 1763217834, -1
33, close, 1763144537, 1763144537, 1763144537, -1
34, close, 1763144546, 1763144546, 1763144546, -1
35, close, 1763160000, 1763160000, 1763160000, -1
36, close, 1763143335, 1763143335, 1763143335, -1
37, unedit, 1763307406, -1, -1, -1
38, close, 1763151585, 1763151585, 1763151585, -1
39, close, 1763135874, 1763135874, 1763135874, -1
40, close, 1763135833, 1763135833, 1763135833, -1
41, close, 1763144094, 1763144094, 1763144094, -1
42, close, 1763144159, 1763144159, 1763144159, -1
43, close, 1763143153, 1763143153, 1763143153, -1
44, close, 1763133360, 1763217768, 1763217768, -1
45, close, 1763138268, 1763217772, 1763217771, -1
46, close, 1763213987, 1763213987, 1763213987, -1
47, close, 1763136358, 1763217775, 1763217775, -1
48, close, 1763149496, 1763149496, 1763149496, -1
49, close, 1763203164, 1763203164, 1763203164, -1
50, close, 1763138494, 1763138494, 1763138494, -1
51, close, 1763138020, 1763138020, 1763138020, 1763135398
52, close, 1763151759, 1763151759, 1763151759, -1
53, close, 1763151738, 1763151738, 1763151738, -1
54, close, 1763157942, 1763157942, 1763157942, -1
55, close, 1763157927, 1763157927, 1763157927, -1
56, close, 1763134500, 1763134500, 1763134500, -1
57, close, 1763134549, 1763134549, 1763134549, -1
58, close, 1763138388, 1763217782, 1763217782, -1
59, close, 1763137992, 1763140647, 1763140647, -1
60, close, 1763136298, 1763136298, 1763136298, -1
61, close, 1763215014, 1763215014, 1763215014, 1763202557
62, close, 1763137889, 1763138308, 1763138308, -1
63, close, 1763176950, 1763176950, 1763176950, -1
64, close, 1763165470, 1763217801, 1763217801, -1
65, close, 1763135359, 1763148186, 1763135359, -1
66, close, 1763135435, 1763135435, 1763135435, -1
67, close, 1763140886, 1763140886, 1763140886, -1
68, close, 1763138262, 1763217807, 1763217807, -1
69, close, 1763135327, 1763163254, 1763163254, -1
70, close, 1763143169, 1763143169, 1763143169, -1
71, close, 1763213972, 1763213972, 1763213972, -1
72, close, 1763137568, 1763217810, 1763217810, -1
73, close, 1763148186, 1763148186, 1763148186, -1
74, close, 1763135474, 1763135474, 1763135474, -1
75, close, 1763186524, 1763217814, 1763217814, -1
76, close, 1763151735, 1763217817, 1763217817, -1
77, close, 1763212956, 1763212956, 1763212956, -1
78, close, 1763133874, 1763133874, 1763133874, -1
79, close, 1763140683, 1763140683, 1763140683, -1
80, close, 1763136437, 1763136437, 1763136437, -1
81, close, 1763153490, 1763153490, 1763153490, -1
82, close, 1763137949, 1763140657, 1763140657, -1
83, close, 1763152754, 1763152754, 1763152754, -1
84, close, 1763138098, 1763138107, 1763138107, -1
85, close, 1763137748, 1763137748, 1763137748, -1
86, close, 1763138161, 1763138161, 1763138161, -1
87, close, 1763218830, 1763218830, 1763218830, -1
88, close, 1763212222, 1763217821, 1763217821, -1
89, close, 1763155119, 1763158108, 1763158108, -1
90, close, 1763219174, 1763219174, 1763219174, -1
91, close, 1763136321, 1763136321, 1763136321, -1
92, close, 1763153930, 1763217828, 1763217828, -1
93, close, 1763215618, 1763215618, 1763215618, -1
94, close, 1763202068, 1763202068, 1763202068, -1
95, close, 1763148424, 1763148424, 1763148424, -1
96, close, 1763142778, 1763142779, 1763142778, -1
97, close, 1763145371, 1763145371, 1763145371, -1
98, close, 1763139797, 1763139797, 1763139797, -1
99, close, 1763140498, 1763145667, 1763145667, -1
100, close, 1763149600, 1763149600, 1763149600, -1
101, close, 1763149346, 1763149346, 1763149346, -1
102, close, 1763166372, 1763166372, 1763166372, -1
103, close, 1763162026, 1763167210, 1763167210, -1
104, close, 1763171622, 1763219342, 1763219342, -1
105, close, 1763139342, 1763139342, 1763139342, -1
106, close, 1763139407, 1763139407, 1763139407, -1
107, close, 1763139535, 1763139535, 1763139535, -1
108, close, 1763204009, 1763204009, 1763204009, -1
109, close, 1763178061, 1763217833, 1763217833, -1
110, close, 1763159959, 1763159959, 1763159959, -1
